Let me start by exploring the repository structure to understand what I'm auditing.
wasm_frontend/src/application: 18 files
   atlas.rs (17054)
    38  wasm_frontend/src/adapters/cpu_splatter/shading/compose_environment_irradiance.rs
    35  wasm_frontend/src/drivers/shaders/trace_voxel_scene/present_voxel_frame.rs
    35  wasm_frontend/src/drivers/shaders/sample_scene_lights.rs
    35  wasm_frontend/src/drivers/cpu_reference_renderer.rs
    34  wasm_frontend/src/drivers/shaders/mod.rs
    33  wasm_frontend/src/drivers/shaders/trace_voxel_scene/collect_ordered_chunk_intervals.rs
    32  wasm_frontend/src/drivers/shaders/render_world_surfaces/present_surface_frame.rs
    28  wasm_frontend/src/adapters/cpu_splatter/surface_geometry/mod.rs
    28  wasm_frontend/src/adapters/cpu_splatter/shading/evaluate_dynamic_irradiance.rs
    27  wasm_frontend/src/drivers/shaders/render_world_surfaces/hero_shadow_visibility.rs
    26  wasm_frontend/src/drivers/shaders/render_world_surfaces/sample_static_irradiance.rs
    26  wasm_frontend/src/drivers/gl/mod.rs
    24  wasm_frontend/src/drivers/shaders/apply_distance_fog.rs
    24  wasm_frontend/src/application/mod.rs
    23  wasm_frontend/src/drivers/shaders/encode_display_color.rs
    23  wasm_frontend/src/drivers/console_telemetry.rs
    22  wasm_frontend/src/drivers/webgpu/camera_state.rs
    22  wasm_frontend/src/drivers/shaders/shadow.rs
    21  wasm_frontend/src/drivers/shaders/render_world_surfaces/surface_material_semantics.rs
    19  wasm_frontend/src/drivers/webgpu/pipelines/mod.rs
    18  wasm_frontend/src/drivers/webgpu/mod.rs
    17  wasm_frontend/src/reference/mod.rs
    17  wasm_frontend/src/adapters/mod.rs
    16  wasm_frontend/src/bin/play/main.rs
    13  wasm_frontend/src/reference/artifact_sink.rs
    12  wasm_frontend/src/drivers/shaders/trace_voxel_scene/construct_camera_ray.rs

Now let me read the scoped files. My scope:
- wasm_frontend/src/application/** — all files:
  - atlas.rs (436)
  - body.rs (675)
  - chunk_archive.rs (872)
  - collision.rs (297)
  - engine.rs (2718)
  - flares.rs (259)
  - generation_worker_policy.rs (176)
  - mod.rs (24)
  - navigation.rs (245)
  - perf_governor.rs (113)
  - player.rs (279)
  - ports.rs (772)
  - prepare_frame_lighting.rs (117)
  - quality.rs (86)
  - render_settings.rs (282)
  - streaming.rs (594)
  - survival_inventory.rs (294)
  - thermal.rs (148)
  - engine/noclip.rs (57)
  - engine/peripheral_shift.rs (329)
  - engine/presenter.rs (349)
  - engine/route.rs (48)
  - rendering/camera.rs (136)
  - rendering/mod.rs (536)
- wasm_frontend/src/lib.rs (1179)

Also worth reading related: generation_worker_requests.rs (254), worker_source.rs (343) — those are mentioned in the parent's scope list ("Web Worker generation (wasm_frontend/src/drivers/worker_source.rs, static/worker.js, generation_worker_policy.rs, generation_worker_requests.rs)"). The parent said "YOUR SCOPE: wasm_frontend/src/application/** ... + wasm_frontend/src/lib.rs". But the concurrency audit section mentions worker_source.rs and generation_worker_requests.rs as part of the concurrency surface. Since the worker policy is in my scope (generation_worker_policy.rs), I should read the related drivers files to understand the protocol: generation_worker_requests.rs, worker_source.rs, and static/worker.js.

Let me read files in batches. Start with lib.rs since it's the atomic statics file.
Now let me read the scoped files. Starting with lib.rs (the atomic statics) and the mod.rs:
//! # wasm_frontend — browser client for the vackrooms voxel engine
//!
//! This crate is the *outer rings* of the engine's Clean Architecture when it
//! runs in a browser. The dependency rule points strictly inward:
//!
//! ```text
//! drivers (portable WebGPU + wasm DOM)  <- outer layer
//!    |
//! adapters (input mapping, SVO atlas, local chunk source)
//!    |
//! application (player physics, streaming policy, frame orchestration, ports)
//!    |
//! vackrooms core (entities + use cases: VoxelGrid, SVO, generation, lighting)
//! ```
//!
//! * `application` and `adapters` are platform-agnostic and unit-tested with
//!   plain `cargo test` on the host.
//! * Portable WebGPU pipeline/configuration modules also compile natively for
//!   headless Vulkan tests; DOM, events, surfaces, and rAF remain wasm-only.
//! * The `#[wasm_bindgen(start)]` entry point below is the composition root:
//!   it wires concrete drivers into the application's ports.

pub mod adapters;
pub mod application;
pub mod drivers;
pub mod reference;

#[cfg(target_arch = "wasm32")]
use std::sync::atomic::{AtomicBool, AtomicU32, Ordering};

#[cfg(target_arch = "wasm32")]
pub static DOOM_CONTROLS: AtomicBool = AtomicBool::new(false);

/// Mouse look inversion (Y axis).
#[cfg(target_arch = "wasm32")]
pub static INVERT_Y: AtomicBool = AtomicBool::new(false);

/// Mouse sensitivity multiplier, stored as f32 bits. 1.0 = default.
#[cfg(target_arch = "wasm32")]
pub static MOUSE_SENSITIVITY_BITS: AtomicU32 = AtomicU32::new(0x3F80_0000); // 1.0f32

/// Manual internal-resolution override as f32 bits; 0.0 = automatic
/// (adaptive governor).
#[cfg(target_arch = "wasm32")]
pub static RENDER_SCALE_BITS: AtomicU32 = AtomicU32::new(0);

/// Anomaly debug overlay visibility (settings switch and the F3 key).
#[cfg(target_arch = "wasm32")]
pub static ANOMALY_DEBUG: AtomicBool = AtomicBool::new(false);

/// Accessibility: automatic consumption of carried supplies when a vital
/// runs low. Off by default — drinking and eating are deliberate acts. The
/// frame loop forwards this to the engine each HUD refresh.
#[cfg(target_arch = "wasm32")]
pub static ASSISTED_CONSUMPTION: AtomicBool = AtomicBool::new(false);

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_anomaly_debug(enabled: bool) {
    ANOMALY_DEBUG.store(enabled, Ordering::Relaxed);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_assisted_consumption(enabled: bool) {
    ASSISTED_CONSUMPTION.store(enabled, Ordering::Relaxed);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_doom_controls(enabled: bool) {
    DOOM_CONTROLS.store(enabled, Ordering::Relaxed);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_invert_y(enabled: bool) {
    INVERT_Y.store(enabled, Ordering::Relaxed);
}

/// Mouse/touch look sensitivity multiplier (clamped to 0.1–5.0).
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_mouse_sensitivity(multiplier: f32) {
    let m = if multiplier.is_finite() {
        multiplier.clamp(0.1, 5.0)
    } else {
        1.0
    };
    MOUSE_SENSITIVITY_BITS.store(m.to_bits(), Ordering::Relaxed);
}

/// Forces the internal render resolution scale (0.25–1.0), or restores the
/// adaptive governor when `scale` is 0.
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_render_scale(scale: f32) {
    let s = if scale.is_finite() && scale > 0.0 {
        scale.clamp(0.25, 1.0)
    } else {
        0.0
    };
    RENDER_SCALE_BITS.store(s.to_bits(), Ordering::Relaxed);
}

/// CPU render settings are atomics only at the browser boundary. Every
/// public setter rebuilds and validates a typed `CpuRenderSettings` snapshot;
/// the splatter itself never reads these globals.
#[cfg(target_arch = "wasm32")]
pub static CPU_SCALE_BITS: AtomicU32 = AtomicU32::new(0x3F80_0000); // 1.0f32
#[cfg(target_arch = "wasm32")]
pub static CPU_LOD_CUTOFF_BITS: AtomicU32 = AtomicU32::new(0x3F80_0000); // 1.0f32
#[cfg(target_arch = "wasm32")]
pub static CPU_MAX_SPLAT_RADIUS_BITS: AtomicU32 = AtomicU32::new(0x4100_0000); // 8.0f32
#[cfg(target_arch = "wasm32")]
pub static CPU_MAX_VIRTUAL_DEPTH: AtomicU32 = AtomicU32::new(5);
#[cfg(target_arch = "wasm32")]
pub static CPU_MIN_MIP_OCCUPANCY_BITS: AtomicU32 = AtomicU32::new(0x3E80_0000); // 0.25f32
#[cfg(target_arch = "wasm32")]
pub static CPU_MAX_DRAW_DISTANCE_BITS: AtomicU32 = AtomicU32::new(0x42C0_0000); // 96.0f32
#[cfg(target_arch = "wasm32")]
pub static CPU_SHADOWS: AtomicU32 = AtomicU32::new(0);

/// Applies one of the typed quality profiles. Individual optimization
/// switches are intentionally untouched.
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_quality_preset(preset_id: u32) {
    use crate::adapters::cpu_splatter::CpuQualityPreset;
    store_cpu_settings(CpuQualityPreset::from_id(preset_id).settings());
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_scale(scale: f32) {
    update_cpu_settings(|settings| settings.internal_scale = scale);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_lod_cutoff(cutoff: f32) {
    update_cpu_settings(|settings| settings.lod_cutoff_px = cutoff);
}

/// Legacy name retained for old pages. The setting is a projected radius,
/// not a full diameter; new UI code calls `set_cpu_max_splat_radius`.
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_max_splat_half(half: f32) {
    set_cpu_max_splat_radius(half);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_max_splat_radius(radius: f32) {
    update_cpu_settings(|settings| settings.max_splat_radius_px = radius);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_virtual_depth(depth: u32) {
    update_cpu_settings(|settings| {
        settings.max_virtual_depth = u8::try_from(depth).unwrap_or(u8::MAX);
    });
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_mip_occupancy(occupancy: f32) {
    update_cpu_settings(|settings| settings.min_mip_occupancy = occupancy);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_max_draw_distance(dist: f32) {
    update_cpu_settings(|settings| settings.max_draw_distance = dist);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_cpu_shadows(mode: u32) {
    update_cpu_settings(|settings| {
        settings.shadows = crate::adapters::cpu_splatter::CpuShadowMode::from_id(mode);
    });
}

/// Renderer optimization toggles as a bitfield — see
/// [`application::render_settings::RenderToggles`]. Initialized from the URL
/// query at boot; the settings menu flips individual switches afterwards.
#[cfg(target_arch = "wasm32")]
pub static RENDER_TOGGLE_BITS: AtomicU32 = AtomicU32::new(u32::MAX);

/// Flips one renderer optimization switch by name (`"hiz"`, `"f2b"`,
/// `"skip"`, `"mips"`, `"beam_occlusion"`, `"shadows"`, `"cells"`,
/// `"deferred"`, `"ao"`, `"cull"`, `"budget"`, `"dither"`, and `"bake"`).
/// Unknown names are ignored.
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn set_render_toggle(name: &str, enabled: bool) {
    let mut toggles = get_render_toggles();
    toggles.set(name, enabled);
    RENDER_TOGGLE_BITS.store(toggles.to_bits(), Ordering::Relaxed);
}

/// Returns one renderer switch by its short URL name. This small diagnostic
/// export lets the settings UI and browser smoke tests verify the effective
/// state after URL and local-preference overrides have been composed.
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn render_toggle_enabled(name: &str) -> Option<bool> {
    get_render_toggles().enabled(name)
}

/// Snapshot of the toggle switchboard, taken once per frame by each driver
/// and passed by value into the platform-free render code.
#[cfg(target_arch = "wasm32")]
pub fn get_render_toggles() -> crate::application::render_settings::RenderToggles {
    let bits = RENDER_TOGGLE_BITS.load(Ordering::Relaxed);
    if bits == u32::MAX {
        crate::application::render_settings::RenderToggles::default()
    } else {
        crate::application::render_settings::RenderToggles::from_bits(bits)
    }
}

/// Boot-time initialization from the URL query (`?rt_<name>=0|1`).
#[cfg(target_arch = "wasm32")]
pub fn init_render_toggles(query: &str) {
    let toggles = crate::application::render_settings::parse_render_toggles(query);
    RENDER_TOGGLE_BITS.store(toggles.to_bits(), Ordering::Relaxed);
}

#[cfg(target_arch = "wasm32")]
pub fn get_cpu_settings() -> crate::adapters::cpu_splatter::CpuRenderSettings {
    let scale = f32::from_bits(CPU_SCALE_BITS.load(Ordering::Relaxed));
    let lod_cutoff = f32::from_bits(CPU_LOD_CUTOFF_BITS.load(Ordering::Relaxed));
    let max_splat_radius = f32::from_bits(CPU_MAX_SPLAT_RADIUS_BITS.load(Ordering::Relaxed));
    let max_virtual_depth = CPU_MAX_VIRTUAL_DEPTH.load(Ordering::Relaxed) as u8;
    let min_mip_occupancy = f32::from_bits(CPU_MIN_MIP_OCCUPANCY_BITS.load(Ordering::Relaxed));
    let max_draw_dist = f32::from_bits(CPU_MAX_DRAW_DISTANCE_BITS.load(Ordering::Relaxed));
    let shadow_mode = CPU_SHADOWS.load(Ordering::Relaxed);

    crate::adapters::cpu_splatter::CpuRenderSettings {
        internal_scale: scale,
        lod_cutoff_px: lod_cutoff,
        max_splat_radius_px: max_splat_radius,
        max_virtual_depth,
        min_mip_occupancy,
        max_draw_distance: max_draw_dist,
        shadows: crate::adapters::cpu_splatter::CpuShadowMode::from_id(shadow_mode),
        ..crate::adapters::cpu_splatter::CpuRenderSettings::default()
    }
    .validated()
}

#[cfg(target_arch = "wasm32")]
fn update_cpu_settings(update: impl FnOnce(&mut crate::adapters::cpu_splatter::CpuRenderSettings)) {
    let mut settings = get_cpu_settings();
    update(&mut settings);
    store_cpu_settings(settings);
}

#[cfg(target_arch = "wasm32")]
fn store_cpu_settings(settings: crate::adapters::cpu_splatter::CpuRenderSettings) {
    let settings = settings.validated();
    CPU_SCALE_BITS.store(settings.internal_scale.to_bits(), Ordering::Relaxed);
    CPU_LOD_CUTOFF_BITS.store(settings.lod_cutoff_px.to_bits(), Ordering::Relaxed);
    CPU_MAX_SPLAT_RADIUS_BITS.store(settings.max_splat_radius_px.to_bits(), Ordering::Relaxed);
    CPU_MAX_VIRTUAL_DEPTH.store(settings.max_virtual_depth as u32, Ordering::Relaxed);
    CPU_MIN_MIP_OCCUPANCY_BITS.store(settings.min_mip_occupancy.to_bits(), Ordering::Relaxed);
    CPU_MAX_DRAW_DISTANCE_BITS.store(settings.max_draw_distance.to_bits(), Ordering::Relaxed);
    CPU_SHADOWS.store(settings.shadows.id(), Ordering::Relaxed);
}

#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn get_blueprint_svg(seed: u32, rx: i32, rz: i32, voxel_scale: f32, size_world: f32) -> String {
    let noise = vackrooms::frameworks_drivers::simple_noise::SimpleNoiseProvider::new();
    let plan = vackrooms::use_cases::region_plan::generate_region_plan(
        seed,
        vackrooms::domain::entities::position::Position::new(
            rx as f32 * size_world,
            rz as f32 * size_world,
        ),
        size_world,
        &vackrooms::use_cases::generate_chunk::GeneratorConfig::low_spec(),
        &noise,
    );
    let chunk_size = if voxel_scale <= 0.1 { 20.0 } else { 10.0 };
    let mut chunk_bounds = Vec::new();
    let steps = (size_world / chunk_size).round() as i32;
    for i in 0..steps {
        for j in 0..steps {
            let min_x = rx as f32 * size_world + i as f32 * chunk_size;
            let min_z = rz as f32 * size_world + j as f32 * chunk_size;
            let chunk_coord_x = (min_x / chunk_size).round() as i64;
            let chunk_coord_z = (min_z / chunk_size).round() as i64;
            chunk_bounds.push(vackrooms::adap

Let me continue reading lib.rs.
ters::blueprint_renderer::ChunkBounds {
                min_x,
                min_z,
                max_x: min_x + chunk_size,
                max_z: min_z + chunk_size,
                label: format!("[{}, {}]", chunk_coord_x, chunk_coord_z),
            });
        }
    }

    let options = vackrooms::adapters::blueprint_renderer::BlueprintOptions {
        pixels_per_unit: 10.0,
        show_chunk_grid: true,
        show_fixtures: true,
        show_structure: true,
        seed,
        level: 0,
        voxel_scale,
    };
    vackrooms::adapters::blueprint_renderer::render_region_blueprint_svg(
        &plan,
        &chunk_bounds,
        options,
    )
}

/// Compact geometry feed for the canvas debug map. This deliberately returns
/// planning primitives rather than SVG so the page can redraw cheaply while
/// panning, zooming, or changing overlays.
#[cfg(target_arch = "wasm32")]
#[wasm_bindgen::prelude::wasm_bindgen]
pub fn get_debug_region_json(seed: u32, region_x: i32, region_z: i32) -> String {
    use std::fmt::Write;
    use vackrooms::domain::entities::architecture::SpaceProgram;

    let noise = vackrooms::frameworks_drivers::simple_noise::SimpleNoiseProvider::new();
    let size = vackrooms::use_cases::region_plan::REGION_SIZE;
    let origin = vackrooms::domain::entities::position::Position::new(
        region_x as f32 * size,
        region_z as f32 * size,
    );
    let config = vackrooms::use_cases::generate_chunk::GeneratorConfig::low_spec();
    let plan = vackrooms::use_cases::region_plan::generate_region_plan(
        seed, origin, size, &config, &noise,
    );
    let mut out = String::with_capacity(8192);
    write!(
        out,
        "{{\"origin\":[{:.1},{:.1}],\"size\":{:.1},\"walls\":[",
        origin.x, origin.z, size
    )
    .unwrap();
    let mut first = true;
    for assembly in &plan.assemblies {
        let vertices = &assembly.footprint.vertices;
        for pair in vertices
            .iter()
            .zip(vertices.iter().cycle().skip(1))
            .take(vertices.len())
        {
            if !first {
                out.push(',');
            }
            first = false;
            write!(
                out,
                "[{:.1},{:.1},{:.1},{:.1}]",
                pair.0.0, pair.0.1, pair.1.0, pair.1.1
            )
            .unwrap();
        }
    }
    out.push_str("],\"corridors\":[");
    first = true;
    for corridor in &plan.corridors {
        for pair in corridor.path.windows(2) {
            if !first {
                out.push(',');
            }
            first = false;
            write!(
                out,
                "[{:.1},{:.1},{:.1},{:.1},{:.1}]",
                pair[0].x, pair[0].z, pair[1].x, pair[1].z, corridor.width
            )
            .unwrap();
        }
    }
    out.push_str("],\"lights\":[");
    first = true;
    for assembly in &plan.assemblies {
        for fixture in &assembly.fixtures {
            if !first {
                out.push(',');
            }
            first = false;
            write!(
                out,
                "[{:.1},{:.1},{:.1},{:.1},{}]",
                fixture.at.x, fixture.at.z, fixture.half_x, fixture.half_z, fixture.lit
            )
            .unwrap();
        }
    }
    out.push_str("],\"rooms\":[");
    first = true;
    for assembly in &plan.assemblies {
        let b = assembly.footprint.bounds();
        if !first {
            out.push(',');
        }
        first = false;
